,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_separate_readability_init_Lhypernet,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++,small_original_hyperformer++
,SARI,LINGUISTIC_SENTENCE_ACCEPTABILITY_PERCENTAGE,CORRECT_PARAPHRASE_PERCENTAGE,SRC_PRED_EXACT_COPY,PRED_ONLY_GFI,PRED_ONLY_FRE,PRED_ONLY_FKGL,PRED_ONLY_ARI,PRED_ONLY_ASL,SARI,LINGUISTIC_SENTENCE_ACCEPTABILITY_PERCENTAGE,CORRECT_PARAPHRASE_PERCENTAGE,SRC_PRED_EXACT_COPY,PRED_ONLY_GFI,PRED_ONLY_FRE,PRED_ONLY_FKGL,PRED_ONLY_ARI,PRED_ONLY_ASL
10,0.3693903494944015,0.9341317365269461,0.9700598802395209,0.6047904191616766,10.656706586826347,69.39125748502993,8.409580838323354,10.320359281437126,19.423952095808385,0.33260028875450176,0.9640718562874252,0.9700598802395209,0.718562874251497,10.737664670658683,69.42892215568862,8.492814371257486,10.488023952095807,19.78622754491018
11,0.36705896225120105,0.9461077844311377,0.9640718562874252,0.5988023952095809,10.65994011976048,69.63646706586826,8.402994011976048,10.305389221556887,19.53173652694611,0.3321373177828871,0.9580838323353293,0.9880239520958084,0.7065868263473054,10.617964071856287,69.8665269461078,8.32694610778443,10.292215568862273,19.355089820359282
12,0.3667940874613713,0.9401197604790419,0.9880239520958084,0.6107784431137725,10.647065868263473,69.38922155688621,8.396407185628744,10.316167664670658,19.37604790419162,0.3315405684855063,0.9520958083832335,0.9880239520958084,0.6766467065868264,10.656107784431137,69.97221556886228,8.37125748502994,10.349700598802393,19.60059880239521
13,0.3658648308947486,0.9401197604790419,0.9820359281437124,0.6107784431137725,10.594910179640719,70.01856287425149,8.305988023952096,10.21197604790419,19.355089820359282,0.33122029015868737,0.9700598802395209,0.9880239520958084,0.7365269461077844,10.679101796407187,69.21011976047905,8.465269461077844,10.44311377245509,19.552694610778445
14,0.3652975343771435,0.9401197604790419,0.9880239520958084,0.6287425149700598,10.622694610778444,69.62233532934133,8.394610778443115,10.345508982035927,19.495808383233534,0.33047126696403895,0.9580838323353293,0.9880239520958084,0.6946107784431138,10.659880239520959,69.88095808383233,8.368862275449102,10.376646706586826,19.540718562874254
15,0.36436278028579594,0.9580838323353293,0.9760479041916167,0.6287425149700598,10.614850299401196,69.85215568862276,8.319161676646708,10.24491017964072,19.319161676646708,0.33034432824926335,0.9640718562874252,0.9820359281437124,0.7125748502994012,10.579940119760478,69.88904191616767,8.304790419161677,10.269461077844312,19.283233532934133
16,0.36433197292950126,0.9461077844311377,0.9820359281437124,0.5688622754491017,10.718023952095807,69.15604790419161,8.47305389221557,10.353892215568862,19.55568862275449,0.3288056329727725,0.9520958083832335,0.9880239520958084,0.6946107784431138,10.650898203592815,69.79491017964072,8.377844311377245,10.375449101796407,19.525748502994013
17,0.36367929921314895,0.9341317365269461,0.9640718562874252,0.592814371257485,10.67125748502994,69.30814371257486,8.41556886227545,10.309580838323352,19.405988023952098,0.32877937751278596,0.9580838323353293,0.9880239520958084,0.7365269461077844,10.574670658682635,69.93754491017964,8.324550898203592,10.265269461077844,19.38502994011976
18,0.36361023876897886,0.9461077844311377,0.9700598802395209,0.6167664670658684,10.645688622754491,69.67994011976047,8.37245508982036,10.29940119760479,19.438922155688623,0.328523982624666,0.9580838323353293,0.9820359281437124,0.7065868263473054,10.67868263473054,69.88293413173653,8.380239520958083,10.389820359281437,19.58862275449102
19,0.36323024617181177,0.9700598802395209,0.9880239520958084,0.6586826347305389,10.579820359281436,69.38335329341318,8.363473053892218,10.276047904191616,19.232335329341318,0.32754463645139337,0.9580838323353293,0.9880239520958084,0.7125748502994012,10.65125748502994,69.88101796407186,8.368862275449102,10.368263473053892,19.540718562874254
20,0.36183221535013926,0.9580838323353293,0.9820359281437124,0.6586826347305389,10.603892215568862,69.55946107784432,8.332934131736527,10.247904191616765,19.208383233532935,0.32703633642828556,0.9640718562874252,0.9940119760479041,0.7724550898203593,10.581437125748502,69.9134131736527,8.333532934131735,10.265269461077843,19.408982035928144
21,0.36140030078051283,0.9580838323353293,0.9820359281437124,0.592814371257485,10.625748502994012,69.83922155688623,8.337724550898205,10.246107784431137,19.382035928143715,0.32484918274652974,0.9520958083832335,0.9880239520958084,0.7305389221556886,10.547485029940118,70.19107784431138,8.289221556886227,10.223353293413172,19.38502994011976
22,0.36099945633826164,0.9461077844311377,0.9940119760479041,0.6646706586826348,10.593652694610778,69.81251497005987,8.321556886227546,10.2125748502994,19.308383233532933,0.32461055540560635,0.9700598802395209,0.9820359281437124,0.7604790419161677,10.600778443113773,69.7128143712575,8.37125748502994,10.280838323353292,19.45688622754491
23,0.36044762980372547,0.9461077844311377,0.9760479041916167,0.6347305389221557,10.673353293413173,69.27796407185629,8.42874251497006,10.322754491017964,19.435928143712577,0.32387301200680635,0.9640718562874252,0.9880239520958084,0.718562874251497,10.652754491017964,69.87473053892215,8.37125748502994,10.38263473053892,19.54670658682635
24,0.3601221127922338,0.9401197604790419,0.9880239520958084,0.6107784431137725,10.605748502994011,69.5391616766467,8.364670658682636,10.279640718562874,19.32814371257485,0.3221761951596022,0.9580838323353293,0.9880239520958084,0.7365269461077844,10.622035928143713,69.92359281437126,8.353293413173652,10.325748502994012,19.498802395209584
